구별,소계,최근증가율,인구수,한국인,외국인,고령자,외국인비율,고령자비율,CCTV비율,오차
강남구,3238,150.61919504643964,562136,556570,5566,89719,0.9901518493745286,15.96037257887771,0.5760171915693,1518.1140189073863
강동구,1010,166.49076517150397,466924,462646,4278,85571,0.9162090618601743,18.32653708098106,0.21630929230452922,-600.0576013727673
강북구,831,125.20325203252031,290252,285054,5198,69922,1.7908575996031035,24.090101015669145,0.28630293675840307,-575.2639671474103
강서구,911,134.7938144329897,565133,559335,5798,105023,1.025953182702125,18.583767007058515,0.16120099162498033,-812.3430627001883
관악구,2109,149.29078014184398,497632,481145,16487,87267,3.3130907980194197,17.53645263970163,0.4238071506655521,463.5202891826557
광진구,878,53.22862129144852,350005,334159,15846,58307,4.5273638948015025,16.65890487278753,0.2508535592348681,-597.1898921715667
구로구,1884,64.97373029772329,413099,390169,22930,81973,5.550727549570442,19.843427362448228,0.4560650110506198,336.03029236353404
금천구,1348,100.0,240153,226672,13481,46764,5.6135047240717375,19.472586226280747,0.5613088322860843,-0.47406676106629675
노원구,1566,188.929889298893,500045,495183,4862,98515,0.9723124918757311,19.701226889579935,0.3131718145366917,-82.26314021977237
도봉구,825,246.6386554621849,308060,305400,2660,72365,0.8634681555541128,23.490553788223075,0.2678049730571967,-601.8057453481731
동대문구,1870,74.76635514018692,360066,341345,18721,68503,5.199324568273594,19.025123171862937,0.5193492304188677,383.2046029723083
동작구,1302,139.33823529411765,389541,378324,11217,71823,2.879542846580976,18.43785378175853,0.3342395280599475,-218.79522364873174
마포구,980,212.1019108280255,373980,363029,10951,59004,2.9282314562276057,15.77731429488208,0.2620460987218568,-522.8453915181126
서대문구,1254,48.5781990521327,320010,305369,14641,59275,4.575169525952314,18.522858660666856,0.39186275428892847,-186.5902382445745
서초구,2297,63.37126600284495,411959,407404,4555,67191,1.1056925567835636,16.310118239921934,0.5575797591507893,750.3452983804291
성동구,1327,81.78082191780823,283853,276597,7256,50534,2.556252708268012,17.80287684118188,0.46749549943104357,-71.8826307420486
성북구,1651,63.62735381565907,436666,424194,12472,81965,2.856187566698575,18.77063934448755,0.378092180293405,75.84542674935074
송파구,1081,104.34782608695652,658768,652752,6016,111724,0.9132198285284046,16.959536589512545,0.1640941879386977,-750.3523507633295
양천구,2482,34.67173087357569,436595,433307,3288,78399,0.7531006997331623,17.956916593181322,0.5684902483995464,906.9273262468942
영등포구,1277,157.97979797979798,397771,375040,22731,69230,5.714594578287508,17.404486501026973,0.3210389897704961,-253.2886442794752
용산구,2096,53.216374269005854,219451,206061,13390,39021,6.101589876555587,17.781190334060906,0.9551107080851763,771.4059811001302
은평구,2108,85.23725834797891,468976,464738,4238,96177,0.9036709767664016,20.507872471085943,0.4494899525775306,495.57538779682136
종로구,1619,248.92241379310346,150204,139189,11015,29338,7.333359963782589,19.53210300657772,1.0778674336236054,374.2833685141138
중구,1023,147.6997578692494,131800,121475,10325,26516,7.833839150227617,20.11836115326252,0.7761760242792108,-200.48735891137812
중랑구,916,79.96070726915521,386782,381126,5656,81160,1.4623224452016899,20.983396331783798,0.23682591227099503,-601.6126783850355
